date,keyword,frequency,total_postings,category
2026-07-12,데이터분석,89,24621,기술/역량
2026-07-12,딥러닝,2,24621,기술/역량
2026-07-12,머신러닝,1,24621,기술/역량
2026-07-12,복지포인트,36,24621,근무조건/복지
2026-07-12,빅데이터,5,24621,기술/역량
2026-07-12,생성형AI,9,24621,기술/역량
2026-07-12,성과급,123,24621,근무조건/복지
2026-07-12,수습기간,924,24621,근무조건/복지
2026-07-12,스톡옵션,1,24621,근무조건/복지
2026-07-12,신입환영,17,24621,근무조건/복지
2026-07-12,워라밸,16,24621,근무조건/복지
2026-07-12,원격근무,0,24621,근무조건/복지
2026-07-12,유연근무,25,24621,근무조건/복지
2026-07-12,인공지능,2,24621,기술/역량
2026-07-12,인센티브,254,24621,근무조건/복지
2026-07-12,자동화,228,24621,기술/역량
2026-07-12,재택,42,24621,근무조건/복지
2026-07-12,재택근무,35,24621,근무조건/복지
2026-07-12,정규직전환,279,24621,근무조건/복지
2026-07-12,주4일,119,24621,근무조건/복지
2026-07-12,챗GPT,1,24621,기술/역량
2026-07-12,클라우드,12,24621,기술/역량
2026-07-12,파이썬,0,24621,기술/역량
2026-07-12,프롬프트엔지니어링,0,24621,기술/역량
2026-07-12,하이브리드근무,0,24621,근무조건/복지
2026-07-13,AI,569,24621,기술/역량
2026-07-13,ChatGPT,12,24621,기술/역량
2026-07-13,LLM,2,24621,기술/역량
2026-07-13,MLOps,0,24621,기술/역량
2026-07-13,MZ세대,0,24621,근무조건/복지
2026-07-13,Python,13,24621,기술/역량
2026-07-13,RAG,3,24621,기술/역량
2026-07-13,RPA,0,24621,기술/역량
2026-07-13,React,4,24621,기술/역량
2026-07-13,경력무관,469,24621,근무조건/복지
2026-07-13,데이터분석,89,24621,기술/역량
2026-07-13,딥러닝,2,24621,기술/역량
2026-07-13,머신러닝,1,24621,기술/역량
2026-07-13,복지포인트,36,24621,근무조건/복지
2026-07-13,빅데이터,5,24621,기술/역량
2026-07-13,생성형AI,9,24621,기술/역량
2026-07-13,성과급,123,24621,근무조건/복지
2026-07-13,수습기간,924,24621,근무조건/복지
2026-07-13,스톡옵션,1,24621,근무조건/복지
2026-07-13,신입환영,17,24621,근무조건/복지
2026-07-13,워라밸,16,24621,근무조건/복지
2026-07-13,원격근무,0,24621,근무조건/복지
2026-07-13,유연근무,25,24621,근무조건/복지
2026-07-13,인공지능,2,24621,기술/역량
2026-07-13,인센티브,254,24621,근무조건/복지
2026-07-13,자동화,228,24621,기술/역량
2026-07-13,재택,42,24621,근무조건/복지
2026-07-13,재택근무,35,24621,근무조건/복지
2026-07-13,정규직전환,279,24621,근무조건/복지
2026-07-13,주4일,119,24621,근무조건/복지
2026-07-13,챗GPT,1,24621,기술/역량
2026-07-13,클라우드,12,24621,기술/역량
2026-07-13,파이썬,0,24621,기술/역량
2026-07-13,프롬프트엔지니어링,0,24621,기술/역량
2026-07-13,하이브리드근무,0,24621,근무조건/복지
2026-07-14,AI,586,24896,기술/역량
2026-07-14,ChatGPT,14,24896,기술/역량
2026-07-14,LLM,2,24896,기술/역량
2026-07-14,MLOps,0,24896,기술/역량
2026-07-14,MZ세대,0,24896,근무조건/복지
2026-07-14,Python,13,24896,기술/역량
2026-07-14,RAG,3,24896,기술/역량
2026-07-14,RPA,0,24896,기술/역량
2026-07-14,React,4,24896,기술/역량
2026-07-14,경력무관,476,24896,근무조건/복지
2026-07-14,데이터분석,88,24896,기술/역량
2026-07-14,딥러닝,2,24896,기술/역량
2026-07-14,머신러닝,1,24896,기술/역량
2026-07-14,복지포인트,39,24896,근무조건/복지
2026-07-14,빅데이터,5,24896,기술/역량
2026-07-14,생성형AI,9,24896,기술/역량
2026-07-14,성과급,123,24896,근무조건/복지
2026-07-14,수습기간,932,24896,근무조건/복지
2026-07-14,스톡옵션,1,24896,근무조건/복지
2026-07-14,신입환영,21,24896,근무조건/복지
2026-07-14,워라밸,17,24896,근무조건/복지
2026-07-14,원격근무,0,24896,근무조건/복지
2026-07-14,유연근무,24,24896,근무조건/복지
2026-07-14,인공지능,2,24896,기술/역량
2026-07-14,인센티브,259,24896,근무조건/복지
2026-07-14,자동화,238,24896,기술/역량
2026-07-14,재택,40,24896,근무조건/복지
2026-07-14,재택근무,33,24896,근무조건/복지
2026-07-14,정규직전환,284,24896,근무조건/복지
2026-07-14,주4일,115,24896,근무조건/복지
2026-07-14,챗GPT,1,24896,기술/역량
2026-07-14,클라우드,11,24896,기술/역량
2026-07-14,파이썬,0,24896,기술/역량
2026-07-14,프롬프트엔지니어링,0,24896,기술/역량
2026-07-14,하이브리드근무,0,24896,근무조건/복지
