company_name,matched,matched_name,subscribers,avg_monthly_salary,avg_annual_salary,data_month,checked_date
(K)한누리한마음센터,True,(K)한누리한마음센터,10.0,1747822.0,20973867.0,2026-05,2026-07-10
(NO1)아이맘케어,False,,,,,,2026-07-10
(No.1)아이맘케어안양지사,False,,,,,,2026-07-10
(心)심방문요양센터,False,,,,,,2026-07-10
(가)김포중앙데이케어센터,False,,,,,,2026-07-10
(강남서초)엔젤스맘,False,,,,,,2026-07-10
(강동송파)다산케어센터,False,,,,,,2026-07-10
(경기)산모피아 화성지사,False,,,,,,2026-07-10
(고양)하늘소리요양원,True,(고양)하늘소리요양원,13.0,2469846.0,29638154.0,2026-05,2026-07-10
(공립)남면어린이집,True,(공립)남면어린이집,6.0,2842519.0,34110222.0,2026-05,2026-07-10
(금천)하늘방문요양센터,True,(금천)하늘방문요양센터,22.0,1420263.0,17043152.0,2026-05,2026-07-10
(농)(주)수지스링크,False,,,,,,2026-07-10
(복)서로사랑복지센터,False,,,,,,2026-07-10
(복)진영실버복지센터,False,,,,,,2026-07-10
(사)경기도농아인협회,True,(사)경기도농아인협회,14.0,3695556.0,44346667.0,2026-05,2026-07-10
(사)경기도시각장애인연합회 용인시지회,False,,,,,,2026-07-10
(사)경기도시각장애인연합회평택시지회,False,,,,,,2026-07-10
(사)경기도장애인복지회 부천지부,False,,,,,,2026-07-10
(사)경기도장애인정보화협회 군포시지회,True,(사)경기도장애인정보화협회 군포시지회,8.0,1620194.0,19442333.0,2026-05,2026-07-10
(사)국립예술단체연합회,False,,,,,,2026-07-10
(사)국민독서문화진흥회,False,,,,,,2026-07-10
(사)국민안전진흥협회,True,(사)국민안전진흥협회,7.0,1800698.0,21608381.0,2026-05,2026-07-10
(사)나눔복지,True,(사)나눔복지,5.0,2575022.0,30900267.0,2026-05,2026-07-10
(사)늘푸른복지,False,,,,,,2026-07-10
(사)담배인삼공제회,True,(사)담배인삼공제회,232.0,3559201.0,42710414.0,2026-05,2026-07-10
(사)대한노인회영등포구지회,True,(사)대한노인회영등포구지회,7.0,2825968.0,33911619.0,2026-05,2026-07-10
(사)몽양여운형선생기념사업회,False,,,,,,2026-07-10
(사)보성 유통사업단,True,(사)보성 유통사업단,5.0,2883289.0,34599467.0,2026-05,2026-07-10
(사)새누리장애인부모연대시흥지부,False,,,,,,2026-07-10
(사)서울뇌병변장애인인권협회,True,(사)서울뇌병변장애인인권협회,79.0,1771376.0,21256506.0,2026-05,2026-07-10
(사)서울장애인부모연대 광진지회,False,,,,,,2026-07-10
(사)수원여성인권돋음,False,,,,,,2026-07-10
(사)아름다움나눔협회사업단,True,(사)아름다움나눔협회사업단,10.0,2125044.0,25500533.0,2026-05,2026-07-10
(사)에바다장애인종합복지관,False,,,,,,2026-07-10
(사)우리들행복나눔,False,,,,,,2026-07-10
